epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.0127,0.72445,3.86195,0.99563,0.01301,0.87385,0.14838,0.12373,0.47243,3.5453,0.79224,0.000233825,0.000233825,0.000233825
2,103.195,0.68205,3.18663,0.94299,0.2166,0.54335,0.31012,0.27403,0.48933,2.45965,0.80598,0.000456254,0.000456254,0.000456254
3,154.335,0.70363,2.63303,0.9544,0.41973,0.57013,0.47766,0.41822,0.54736,2.06498,0.83931,0.000662976,0.000662976,0.000662976
4,205.106,0.68623,2.21604,0.96052,0.50471,0.67486,0.5994,0.53483,0.50836,1.66206,0.85367,0.000643314,0.000643314,0.000643314
5,256.606,0.66806,1.87819,0.95981,0.62888,0.73862,0.71127,0.63526,0.47977,1.41822,0.86668,0.000619752,0.000619752,0.000619752
6,308.706,0.64284,1.61355,0.9673,0.61328,0.8729,0.78335,0.69556,0.50203,1.20676,0.86129,0.00059619,0.00059619,0.00059619
7,361.907,0.61057,1.43095,0.92434,0.89924,0.79059,0.9002,0.80103,0.49257,0.99272,0.84486,0.000572628,0.000572628,0.000572628
8,419.778,0.59774,1.23389,0.92905,0.90699,0.90888,0.96245,0.87004,0.4372,0.79907,0.83907,0.000549066,0.000549066,0.000549066
9,471.959,0.58968,1.09161,0.92931,0.94186,0.95723,0.97995,0.8927,0.43089,0.71845,0.83632,0.000525504,0.000525504,0.000525504
10,519.643,0.56818,0.98839,0.91114,0.9837,0.95429,0.98507,0.90888,0.40623,0.66527,0.83509,0.000501942,0.000501942,0.000501942
11,567.729,0.54182,0.87651,0.91093,0.98568,0.97266,0.98857,0.92281,0.39603,0.63796,0.81989,0.00047838,0.00047838,0.00047838
12,615.578,0.5169,0.80649,0.88953,0.98249,0.98227,0.9911,0.92466,0.3779,0.58655,0.81046,0.000454818,0.000454818,0.000454818
13,665.01,0.50666,0.77937,0.90363,0.98895,0.98534,0.99141,0.9297,0.37358,0.57149,0.81789,0.000431256,0.000431256,0.000431256
14,712.667,0.50292,0.7335,0.88637,0.98622,0.99219,0.98986,0.92677,0.37237,0.54468,0.8067,0.000407694,0.000407694,0.000407694
15,761.631,0.48935,0.70895,0.88383,0.98867,0.97937,0.98968,0.92126,0.3608,0.53966,0.80783,0.000384132,0.000384132,0.000384132
16,810.062,0.49501,0.71035,0.88672,0.97758,0.99073,0.99013,0.92468,0.36938,0.5505,0.80791,0.00036057,0.00036057,0.00036057
17,858.932,0.47986,0.67182,0.87585,0.98923,0.98839,0.9896,0.93215,0.34529,0.51305,0.80482,0.000337008,0.000337008,0.000337008
18,907.552,0.45105,0.65101,0.87298,0.98731,0.98846,0.99085,0.94034,0.33793,0.50349,0.80253,0.000313446,0.000313446,0.000313446
19,956.432,0.46455,0.64508,0.87983,0.98863,0.98695,0.99056,0.94087,0.33591,0.50554,0.80083,0.000289884,0.000289884,0.000289884
20,1004.83,0.45405,0.62783,0.88284,0.98961,0.98801,0.99109,0.94266,0.33001,0.48676,0.79805,0.000266322,0.000266322,0.000266322
21,1052.51,0.44104,0.59251,0.87104,0.98943,0.98885,0.99117,0.94401,0.32053,0.47732,0.79686,0.00024276,0.00024276,0.00024276
22,1100.89,0.44988,0.58587,0.86994,0.99043,0.99244,0.99125,0.93981,0.32346,0.47482,0.79634,0.000219198,0.000219198,0.000219198
23,1148.75,0.44589,0.59827,0.8728,0.98921,0.99086,0.99154,0.94537,0.32006,0.47224,0.79499,0.000195636,0.000195636,0.000195636
24,1196.25,0.43614,0.58112,0.87379,0.99034,0.9938,0.99102,0.94626,0.32204,0.45977,0.79609,0.000172074,0.000172074,0.000172074
25,1243.71,0.42192,0.5718,0.8639,0.98806,0.9931,0.99076,0.9458,0.31131,0.45045,0.79413,0.000148512,0.000148512,0.000148512
26,1290.27,0.35902,0.55804,0.81912,0.98608,0.99249,0.99059,0.9402,0.31981,0.47477,0.79524,0.00012495,0.00012495,0.00012495
27,1337.02,0.35466,0.54968,0.82405,0.98811,0.9931,0.99026,0.94353,0.31303,0.47348,0.79248,0.000101388,0.000101388,0.000101388
28,1383.96,0.35229,0.5365,0.81685,0.99233,0.9931,0.99023,0.94338,0.31878,0.46025,0.79518,7.7826e-05,7.7826e-05,7.7826e-05
29,1431.34,0.34258,0.50522,0.8069,0.99224,0.9931,0.99004,0.94552,0.30984,0.4522,0.79426,5.4264e-05,5.4264e-05,5.4264e-05
30,1478.2,0.33183,0.49679,0.81562,0.99087,0.9931,0.99117,0.94939,0.30067,0.44221,0.79169,3.0702e-05,3.0702e-05,3.0702e-05
